ts_ns,dt_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC
19695741892256,99995918,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48718,48406,48031,47937,48718
19695841897838,100005582,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47718,48968,48625,48093,47968,48750
19695941902140,100004302,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47843,48750,48531,48062,47968,48750
19696041890602,99988462,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48718,48437,47937,47968,48718
19696141905464,100014862,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48656,48468,48156,47906,48781
19696241900454,99994990,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48750,48500,48187,47906,48750
19696341882452,99981998,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48687,48468,48093,47906,48687
19696441908675,100026223,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48750,48500,48125,48000,48750
19696541905521,99996846,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48750,48500,48062,48031,48750
19696641888286,99982765,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,48781,48437,48031,47875,48781
19696741913069,100024783,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48718,48531,47937,47937,48718
19696841883130,99970061,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48718,48562,47937,47906,48718
